,photo_id,user_id,Horizontal/Vertical,Translúcida/Opaca,Simétrica/Assimétrica,Complexa/Simples,Interna/Externa,Aberta/Fechada
396,2434,684,0.94,0.97,0.11,0.33,1.0,0.01
397,2434,760,,0.7,,0.2,0.9,0.3
398,2434,983,0.69,0.83,0.17,0.36,0.64,0.56
399,2434,985,0.71,0.72,0.0,0.11,,0.84
400,2434,988,0.84,1.0,,0.31,1.0,0.73
401,2434,992,0.8,0.34,0.58,0.0,1.0,0.63
402,2434,995,0.35,,0.9,0.25,0.95,0.35
403,2434,996,,1.0,0.0,0.0,,
404,2434,997,0.25,0.9,0.95,0.35,0.9,0.15
405,2434,999,0.25,1.0,0.75,0.25,1.0,0.15
406,2434,1001,0.0,0.37,0.72,0.27,1.0,0.38
407,2434,1003,,0.82,,0.3,0.85,0.71
408,2434,1004,0.29,0.0,,0.6,1.0,0.0
409,2434,1005,0.25,1.0,0.35,0.65,1.0,
410,2434,1006,0.92,0.15,0.34,0.22,1.0,0.26
411,2434,1007,0.83,1.0,0.0,0.1,0.83,0.52
412,2434,1014,,,,0.75,1.0,0.25
413,2434,1062,,0.07,0.1,0.11,,
414,2434,1663,0.05,0.25,0.84,0.1,1.0,0.0
415,2434,1991,0.73,0.71,0.18,0.1,0.88,0.75
