tag,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
concreto,12,1830,610,150,1035,836,83,5,0,0,2,3,0
concreto aparente,50,925,183,123,674,473,63,73,0,0,1,1,0
público,2,1309,1021,6,22,0,4,0,0,0,0,0,0
pilar,2,511,148,75,712,485,4,6,0,0,1,2,0
fachada,24,273,84,56,762,679,22,13,0,0,1,3,0
vidro,37,1100,261,55,244,111,26,0,0,0,0,2,1
ferro,6,1197,359,29,45,45,1,0,0,0,0,0,0
vegetação,1,737,860,1,6,1,0,14,0,0,1,0,0
residência,3,487,170,48,373,507,25,0,2,1,1,0,0
alvenaria,12,1096,260,72,0,0,0,0,0,0,0,0,0
madeira,57,458,346,35,313,97,8,19,0,2,5,0,0
praça,4,776,247,4,118,39,2,5,0,1,1,4,1
casa,12,426,108,28,233,314,8,21,0,0,0,0,0
edifício,2,792,153,17,67,108,1,0,0,0,1,5,0
esquadria,2,612,182,8,67,247,0,0,0,0,0,0,0
cobertura,21,406,103,13,230,227,7,16,0,0,0,0,0
